Timestamp,ID,Rank,Title,Artist,Genre,Album,Number of Plays
11/3/2025 15:18:57,Henry,3,Fresno,"Shady Moon, Lil God Dan",Hip Hop,Fresno,30
11/7/2025 19:44:15,Luca,3,Stuck Inside Green Skeleton Full Cover,sono_chrome,Horror,Single,50
11/7/2025 8:28:33,Elizabeth,5,Turning out,AJR,House,The Click(deluxe edition),20
11/5/2025 17:47:21,Violet,1,Everybody Scream,Florence + the Machine,Indie,Everybody Scream (Chamber Version),20
11/5/2025 17:55:41,Violet,4,Ophelia (Live),Kiltro,Indie,Live,13
11/5/2025 17:57:40,Violet,5,Count The Ways,The Last Dinner Party,Indie,From The Pyre,17
11/5/2025 18:07:22,Violet,9,Ms. Supernova,Friday Pilots Club,Indie,Life Support / Ms. Supernova,20
11/4/2025 12:56:44,Camila,8,The Bard's Last Note,Ricky Desktop & Kim Dracula,Indie,Single,450
11/4/2025 12:58:38,Camila,6,Bad Kids,347aidan,Indie,Single,700
11/6/2025 13:59:08,James,2,Cold Cold Man,Saint Motel,Indie,My Type EP,30
11/6/2025 14:14:11,James,1,Tardigrade Song,Cosmo Sheldrake,Indie,Pelicans We EP,40
11/7/2025 8:35:29,Elizabeth,8,Eighth Wonder,Lemon Demon,Indie,Almanac 2009,40
11/7/2025 20:56:56,Elias,9,Forbidden Fruit,Tommee profitt,Indie,the fall,22
11/7/2025 21:08:20,Elias,4,play with fire,sam tinnesz,Indie,Single,10
11/7/2025 21:11:42,Elias,2,what could have been,sting,Indie,arcane season 1,50
11/7/2025 22:38:23,Alexander,10,Seventh Heaven,INOHA,Indie,ALOHA INOHA,15
11/6/2025 14:01:09,James,3,Supermassive Black Hole,Muse,Indie,Black Holes and Revelations,30
11/6/2025 14:05:56,James,7,My Type,Saint Motel,Indie,My Type EP,30
11/6/2025 14:08:28,James,9,Lovefool,The Cardigans,Indie,First Band on the Moon,20
11/3/2025 15:07:20,James,1,Deceptacon,Le Tigre,Indie,Debut,30
11/5/2025 15:09:15,Ezra,8,Dream Sweet in Sea Major,Miracle Musical,Indie,Hawaii: Part II,50
11/3/2025 15:10:16,Emma,6,Wildflower,Billie Eilish,Indie,Single,50
11/3/2025 15:13:11,Emma,9,Cocoon,Catfish and the Bottlemen,Indie,Single,175
11/5/2025 15:01:00,Ezra,1,Orgasm of Death,The Growlers,Indie,Casual Acquaintances,104
11/5/2025 15:05:48,Ezra,5,Psychics in LA,Peach Pit,Indie,You and your friends,51
11/5/2025 15:06:47,Ezra,6,Neon Roses,The Technicolors,Indie,Metaphysical,51
11/5/2025 15:07:44,Ezra,7,Ode to the Mets,The Strokes,Indie,The New Abnormal,20
11/5/2025 15:11:08,Ezra,9,Khalil Gibran,Starfucker,Indie,Miracle Mile,40
11/5/2025 15:12:03,Ezra,10,I Just Think I'm Smart,Wild Party,Indie,Cheeky Giants,129
11/5/2025 21:02:59,Aurora,1,Touch,Alice Phobe Lou,Indie,Touch,498
11/5/2025 21:05:39,Aurora,6,Bad Habit,Steve Lacy,Indie,Gemini Rights,500
